uid,query,,,,
927446663069698 ,223.228.108.154 ,,,,
927625402187778 ,139.167.193.224 ,,,,
927679894552578 ,47.8.189.32,, ,,
927688383004675 ,27.97.85.118,,,,
927736109596674 ,223.225.66.237,,,,
927834830340099 ,157.48.9.159,,,,
927926189588483 ,106.66.163.165,,,,
927926667935747 ,42.106.24.128, ,,,
927942101467139 ,47.8.183.183,,,,
927970766913539 ,27.97.44.129,,,,
928004220878851 ,49.34.75.211,,,,
928009823387651 ,157.37.209.212,,,,
928026591232002 ,49.14.46.209,,,,
928031364644867 ,223.228.20.112,,,,
928057656999938 ,47.11.244.231, ,,,
928199315292163 ,49.34.113.93,,,,
928243430326275 ,157.40.157.149,,,,
928357230706690 ,49.34.75.90,, ,,
928392734801923 ,42.106.44.78,,,,
928397401456641 ,47.30.71.83,, ,,
928415704973315 ,47.31.131.47,,,,
928543478448130 ,157.49.206.109,,,,
928548513218562 ,223.185.180.251 ,,,,
928587072995329 ,157.37.190.33, ,,,
928799670763522 ,47.29.244.15,,,,
928818197528577 ,157.37.200.142,,,,
928891975368705 ,42.111.8.172,,,,
928913589469185 ,106.210.174.174 ,,,,
928998086246402 ,49.35.96.116,,,,
929024313851906 ,117.208.18.169,,,,
929032727265282 ,47.8.108.34,, ,,
929049551306754 ,157.49.81.9,, ,,
929088321126401 ,47.29.218.230, ,,,
929089365311490 ,157.32.64.138, ,,,
929194527424514 ,157.36.165.166,,,,
929289143418882 ,112.79.132.133,,,,
929312881115139 ,47.11.170.11,,,,
929332467073025 ,106.213.229.227 ,,,,
929371583643651 ,157.39.37.234, ,,,
929464501993473 ,49.34.119.252, ,,,
929559504224258 ,106.79.217.82, ,,,
929577547694081 ,157.49.98.204, ,,,
929581744979969 ,157.37.137.136,,,,
929592007983105 ,47.29.248.154, ,,,
929704936505345 ,47.29.76.110,,,,
929715815415809 ,42.106.46.181, ,,,
929777892360193 ,47.11.244.231, ,,,
929782824009730 ,47.11.214.245, ,,,
929785474678785 ,106.202.171.212 ,,,,
929977809403905 ,49.34.70.56,, ,,
930061273333762 ,157.35.237.245,,,,
930089356853249 ,47.11.151.72,,,,
930097694113794 ,157.49.110.95, ,,,
930101758754819 ,37.39.144.248, ,,,
930184792506369 ,169.149.209.6, ,,,
930220509921282 ,157.32.98.50,,,,
930227198722049 ,169.149.249.237 ,,,,
930298864435201 ,49.206.212.188,,,,
930331782217730 ,157.51.107.216,,,,
930364488351746 ,47.29.166.134, ,,,
930505614753793 ,47.11.235.113, ,,,
930518749872130 ,106.193.254.100 ,,,,
930568020066306 ,49.35.216.142, ,,,
930703469182978 ,157.51.230.180,,,,
930751632965634 ,157.39.206.188,,,,
930951525171201 ,106.210.198.239 ,,,,
930963497910274 ,157.39.137.91, ,,,
931045411782657 ,47.247.90.40,,,,
931056986292225 ,157.34.16.2,, ,,
931125761933314 ,106.210.23.76, ,,,
